[Countries]
CYAX|Lac Du Bonnet|50.294731|-96.00997||CZWG|0
CYAY|Saint Anthony|51.391667|-56.084444||CZQX|0
CYAZ|Tofino|49.082222|-125.7725||CZVR|0
CYBA|Banff|51.200022|-115.534392|YBA|CZEG|0
CYBB|Pelly Bay|68.53306|-89.81639||CZEG|0
CYBC|Baie-Comeau|49.132222|-68.207222||CZUL|0
CYBD|Bella Coola|52.38306|-126.58306||CZVR|0
CYBE|Uranium City|59.561378|-108.481269|YBE|CZEG|0
CYBF|Bonnyville|54.304778|-110.741232|YBY|CZEG|0
CYBG|CFB Bagotville|48.330556|-70.996389||CZUL|0
CYBK|Baker Lake |64.29972|-96.08306||CZEG|0
CYBL|Campbell River|49.950833|-125.270833||CZVR|0
CYBP|Brooks Regional|50.63405|-111.926309||CZEG|0
CYBQ|Tadoule Lake|58.706082|-98.512218|XTL|CZWG|0
CYBR|Brandon|49.909722|-99.950833||CZWG|0
CYBT|Brochet|57.889467|-101.679186|YBT|CZWG|0
CYBU|Nipawin|53.33306|-104||CZWG|0
CYBV|Berens River|52.35|-97.03306||CZWG|0
CYBW|Calgary-Springbank|51.1|-114.36639||CZEG|0
CYBX|Lourdes-De-Blanc-Sablon|51.443611|-57.185278||CZUL|0
CYCA|Cartwright|53.68306|-57.03306||CZQX|0
CYCB|Cambridge Bay |69.09972|-105.11639||CZEG|0
CYCC|Cornwall|45.092778|-74.567778||KZBW|0
CYCD|Nanaimo|49.052222|-123.87||CZVR|0
CYCE|Centralia|43.285556|-81.508333||CZYZ|0
CYCG|Castlegar|49.296389|-117.6325||CZVR|0
CYCH|Chatham Can-Mil|47.007778|-65.449167||CZQM|0
CYCK|Chatham-Kent|42.306232|-82.081749|XCM|CZYZ|0
CYCL|Charlo|47.990556|-66.331389||CZQM|0
CYCN|Cochrane|49.105556|-81.013611||CZYZ|0
CYCO|Coppermine|67.81667|-115.13306||CZEG|0
CYCP|Blue River|52.13306|-119.29972||CZVR|0
CYCQ|Chetwynd|55.7|-121.63306||CZEG|0
CYCR|Cross Lake (Charlie Sinclair Memorial)|54.610917|-97.760196|YCR|CZWG|0
CYCS|Chesterfield Inlet|63.33306|-90.71639||CZEG|0
CYCT|Coronation|52.075056|-111.445306|YCT|CZEG|0
CYCW|Chilliwack|49.153194|-121.939056|YCW|CZVR|0
CYCX|Gagetown Can-Mil|45.83306|-66.43306||CZQM|0
CYCY|Clyde |70.48306|-68.51639||CZEG|0
CYCZ|Fairmont Hot Springs|50.330164|-115.873453|YCZ|CZVR|0
CYDA|Dawson|64.04972|-139.13306||CZEG|0
CYDB|Burwash|61.36667|-139.03306||CZEG|0
CYDC|Princeton|49.4675|-120.511944||CZEG|0
CYDF|Deer Lake|49.210833|-57.391389||CZQX|0
CYDL|Dease Lake|58.422312|-130.031506|YDL|CZEG|0
CYDM|Ross River|61.96667|-132.43306||CZEG|0
CYDN|Dauphin|51.100833|-100.0525||CZWG|0
CYDO|Dolbeau-St-Felicien|48.7785|-72.374999||CZUL|0
CYDP|Nain Nfld|56.54972|-61.68306||CZQX|0
